Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58932 connected to 10.1.9.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-1.00   sec  2.58 MBytes  21.7 Mbits/sec    0    283 KBytes       
[  5]   1.00-2.00   sec  1.43 MBytes  12.0 Mbits/sec    0    341 KBytes       
[  5]   2.00-3.00   sec  1.43 MBytes  12.0 Mbits/sec    0    400 KBytes       
[  5]   3.00-4.00   sec  1.49 MBytes  12.5 Mbits/sec    0    458 KBytes       
[  5]   4.00-5.00   sec  1.43 MBytes  12.0 Mbits/sec    0    516 KBytes       
[  5]   5.00-6.00   sec  1.49 MBytes  12.5 Mbits/sec    0    576 KBytes       
[  5]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    634 KBytes       
[  5]   7.00-8.00   sec  1.24 MBytes  10.4 Mbits/sec    1    461 KBytes       
[  5]   8.00-9.00   sec  1.12 MBytes  9.38 Mbits/sec    0    513 KBytes       
[  5]   9.00-10.00  sec   954 KBytes  7.82 Mbits/sec   23    467 KBytes       
[  5]  10.00-11.00  sec  1.43 MBytes  12.0 Mbits/sec    0    409 KBytes       
[  5]  11.00-12.00  sec  1.06 MBytes  8.85 Mbits/sec   63    300 KBytes       
[  5]  12.00-13.00  sec  1.12 MBytes  9.38 Mbits/sec    0    325 KBytes       
[  5]  13.00-14.00  sec  1.18 MBytes  9.90 Mbits/sec    0    342 KBytes       
[  5]  14.00-15.00  sec  1.12 MBytes  9.38 Mbits/sec    0    351 KBytes       
[  5]  15.00-16.00  sec  1.12 MBytes  9.38 Mbits/sec    0    352 KBytes       
[  5]  16.00-17.00  sec  1.18 MBytes  9.90 Mbits/sec    0    352 KBytes       
[  5]  17.00-18.00  sec  1.12 MBytes  9.38 Mbits/sec    0    354 KBytes       
[  5]  18.00-19.00  sec  1.12 MBytes  9.38 Mbits/sec    0    361 KBytes       
[  5]  19.00-20.00  sec  1.18 MBytes  9.90 Mbits/sec    0    373 KBytes       
[  5]  20.00-21.00  sec  1.12 MBytes  9.38 Mbits/sec    0    399 KBytes       
[  5]  21.00-22.00  sec  1.12 MBytes  9.38 Mbits/sec    0    437 KBytes       
[  5]  22.00-23.00  sec  1.12 MBytes  9.38 Mbits/sec    0    492 KBytes       
[  5]  23.00-24.00  sec  1.12 MBytes  9.38 Mbits/sec    0    566 KBytes       
[  5]  24.00-25.00  sec  1.18 MBytes  9.90 Mbits/sec    0    660 KBytes       
[  5]  25.00-26.00  sec  1.18 MBytes  9.90 Mbits/sec    0    779 KBytes       
[  5]  26.00-27.00  sec  1.12 MBytes  9.38 Mbits/sec    0    921 KBytes       
[  5]  27.00-28.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.06 MBytes       
[  5]  28.00-29.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.26 MBytes       
[  5]  29.00-30.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.48 MBytes       
[  5]  30.00-31.00  sec  1018 KBytes  8.34 Mbits/sec    0   1.73 MBytes       
[  5]  31.00-32.00  sec  1.06 MBytes  8.88 Mbits/sec    0   2.02 MBytes       
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  111   1.68 MBytes       
[  5]  33.00-34.00  sec   783 KBytes  6.42 Mbits/sec  192   1.23 MBytes       
[  5]  34.00-35.00  sec  2.30 MBytes  19.3 Mbits/sec    0   1.45 MBytes       
[  5]  35.00-36.00  sec  1.24 MBytes  10.4 Mbits/sec    0   1.53 MBytes       
[  5]  36.00-37.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.63 MBytes       
[  5]  37.00-38.00  sec   509 KBytes  4.17 Mbits/sec   33   1.47 MBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   1.18 MBytes       
[  5]  39.00-40.00  sec  2.73 MBytes  23.0 Mbits/sec   23   1.09 MBytes       
[  5]  40.00-41.00  sec  1.37 MBytes  11.5 Mbits/sec    0    868 KBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    906 KBytes       
