Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58932 connected to 10.1.9.2 port 5201
[  5]  42.00-43.00  sec  1.24 MBytes  10.4 Mbits/sec    0    954 KBytes       
[  5]  43.00-44.00  sec  1.12 MBytes  9.38 Mbits/sec    0    991 KBytes       
[  5]  44.00-45.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1018 KBytes       
[  5]  45.00-46.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.01 MBytes       
[  5]  46.00-47.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.02 MBytes       
[  5]  47.00-48.00  sec  1.18 MBytes  9.90 Mbits/sec    0   1.02 MBytes       
[  5]  48.00-49.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.02 MBytes       
[  5]  49.00-50.00  sec   382 KBytes  3.13 Mbits/sec   33    796 KBytes       
[  5]  50.00-51.00  sec  1.99 MBytes  16.7 Mbits/sec    0    768 KBytes       
[  5]  51.00-52.00  sec  1.12 MBytes  9.38 Mbits/sec    0    841 KBytes       
[  5]  52.00-53.00  sec  1.12 MBytes  9.38 Mbits/sec    0    908 KBytes       
[  5]  53.00-54.00  sec  1.12 MBytes  9.38 Mbits/sec    0    960 KBytes       
[  5]  54.00-55.00  sec  1.12 MBytes  9.38 Mbits/sec    0    997 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec  161    700 KBytes       
[  5]  56.00-57.00  sec  2.17 MBytes  18.2 Mbits/sec    0    727 KBytes       
[  5]  57.00-58.00  sec  1.12 MBytes  9.38 Mbits/sec    0    771 KBytes       
[  5]  58.00-59.00  sec  1.12 MBytes  9.38 Mbits/sec    0    806 KBytes       
[  5]  59.00-60.00  sec  1.12 MBytes  9.38 Mbits/sec    0    829 KBytes       
[  5]  60.00-61.00  sec  1.12 MBytes  9.38 Mbits/sec    0    843 KBytes       
[  5]  61.00-62.00  sec  1.18 MBytes  9.90 Mbits/sec    0    848 KBytes       
[  5]  62.00-63.00  sec  1.12 MBytes  9.38 Mbits/sec    0    850 KBytes       
[  5]  63.00-64.00  sec  1.12 MBytes  9.38 Mbits/sec    0    851 KBytes       
[  5]  64.00-65.00  sec  1.18 MBytes  9.90 Mbits/sec    0    854 KBytes       
[  5]  65.00-66.00  sec  1.12 MBytes  9.38 Mbits/sec    0    864 KBytes       
[  5]  66.00-67.00  sec  1.12 MBytes  9.38 Mbits/sec    0    881 KBytes       
[  5]  67.00-68.00  sec  1.12 MBytes  9.38 Mbits/sec    0    912 KBytes       
[  5]  68.00-69.00  sec  1.12 MBytes  9.38 Mbits/sec    0    957 KBytes       
[  5]  69.00-70.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1021 KBytes       
[  5]  70.00-71.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.08 MBytes       
[  5]  71.00-72.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.18 MBytes       
[  5]  72.00-73.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.31 MBytes       
[  5]  73.00-74.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.46 MBytes       
[  5]  74.00-75.00  sec   573 KBytes  4.69 Mbits/sec   56   1.35 MBytes       
[  5]  75.00-76.00  sec  1.49 MBytes  12.5 Mbits/sec    0   1.10 MBytes       
[  5]  76.00-77.00  sec   509 KBytes  4.17 Mbits/sec    3    850 KBytes       
[  5]  77.00-78.00  sec  2.24 MBytes  18.8 Mbits/sec    0    817 KBytes       
[  5]  78.00-79.00  sec  1.12 MBytes  9.38 Mbits/sec    0    863 KBytes       
[  5]  79.00-80.00  sec  1.12 MBytes  9.38 Mbits/sec    0    902 KBytes       
[  5]  80.00-81.00  sec  1.12 MBytes  9.38 Mbits/sec    0    929 KBytes       
[  5]  81.00-82.00  sec  1.18 MBytes  9.90 Mbits/sec    0    945 KBytes       
[  5]  82.00-83.00  sec  1.12 MBytes  9.38 Mbits/sec    0    953 KBytes       
[  5]  83.00-84.00  sec  1.12 MBytes  9.38 Mbits/sec    0    956 KBytes       
[  5]  84.00-85.00  sec  1.18 MBytes  9.90 Mbits/sec    0    957 KBytes       
[  5]  85.00-86.00  sec  1.12 MBytes  9.38 Mbits/sec    0    960 KBytes       
[  5]  86.00-87.00  sec  1.12 MBytes  9.38 Mbits/sec    0    967 KBytes       
[  5]  87.00-88.00  sec  1.12 MBytes  9.38 Mbits/sec    0    983 KBytes       
[  5]  88.00-89.00  sec  1.18 MBytes  9.90 Mbits/sec    0   1008 KBytes       
[  5]  89.00-90.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.02 MBytes       
[  5]  90.00-91.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.08 MBytes       
[  5]  91.00-92.00  sec  1.06 MBytes  8.86 Mbits/sec    0   1.15 MBytes       
[  5]  92.00-93.00  sec   318 KBytes  2.61 Mbits/sec    3    979 KBytes       
[  5]  93.00-94.00  sec  2.11 MBytes  17.7 Mbits/sec    0    878 KBytes       
[  5]  94.00-95.00  sec  1.12 MBytes  9.38 Mbits/sec    0    956 KBytes       
[  5]  95.00-96.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.01 MBytes       
[  5]  96.00-97.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.07 MBytes       
[  5]  97.00-98.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.11 MBytes       
[  5]  98.00-99.00  sec  1.12 MBytes  9.38 Mbits/sec    0   1.14 MBytes       
[  5]  99.00-100.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.16 MBytes       
[  5] 100.00-101.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.18 MBytes       
[  5] 101.00-102.00 sec  1.18 MBytes  9.90 Mbits/sec    0   1.18 MBytes       
[  5] 102.00-103.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.18 MBytes       
[  5] 103.00-104.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.18 MBytes       
[  5] 104.00-105.00 sec  1.18 MBytes  9.90 Mbits/sec    0   1.19 MBytes       
[  5] 105.00-106.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.20 MBytes       
[  5] 106.00-107.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.22 MBytes       
[  5] 107.00-108.00 sec  1.12 MBytes  9.38 Mbits/sec    0   1.26 MBytes       
[  5] 108.00-109.00 sec   382 KBytes  3.13 Mbits/sec   10   1.06 MBytes       
[  5] 109.00-110.00 sec  1.93 MBytes  16.2 Mbits/sec    0    938 KBytes       
[  5] 110.00-111.00 sec  1.24 MBytes  10.4 Mbits/sec    0   1012 KBytes       
[  5] 111.00-112.00 sec  1018 KBytes  8.34 Mbits/sec    7   1.03 MBytes       
[  5] 112.00-113.00 sec  1.18 MBytes  9.90 Mbits/sec    0    768 KBytes       
[  5] 113.00-114.00 sec  1.25 MBytes  10.5 Mbits/sec    5    544 KBytes       
[  5] 114.00-115.00 sec  1.36 MBytes  11.4 Mbits/sec    3    393 KBytes       
[  5] 115.00-116.00 sec  4.78 MBytes  40.1 Mbits/sec  155    311 KBytes       
[  5] 116.00-117.00 sec  5.59 MBytes  46.9 Mbits/sec    8    245 KBytes       
[  5] 117.00-118.00 sec  4.97 MBytes  41.7 Mbits/sec   24    189 KBytes       
[  5] 118.00-119.00 sec  3.98 MBytes  33.4 Mbits/sec   47    150 KBytes       
[  5] 119.00-120.00 sec  3.42 MBytes  28.7 Mbits/sec   16    123 KBytes       
[  5] 120.00-121.00 sec  2.98 MBytes  25.0 Mbits/sec    9    113 KBytes       
[  5] 121.00-122.00 sec  2.92 MBytes  24.5 Mbits/sec    0    122 KBytes       
[  5] 122.00-123.00 sec  3.04 MBytes  25.5 Mbits/sec    8    116 KBytes       
[  5] 123.00-124.00 sec  2.67 MBytes  22.4 Mbits/sec   11    105 KBytes       
[  5] 124.00-125.00 sec  2.11 MBytes  17.7 Mbits/sec   24   69.3 KBytes       
[  5] 125.00-126.00 sec  1.37 MBytes  11.5 Mbits/sec    2   52.3 KBytes       
[  5] 126.00-127.00 sec  1.24 MBytes  10.4 Mbits/sec    3   36.8 KBytes       
[  5] 127.00-128.00 sec  1.12 MBytes  9.38 Mbits/sec    0   56.6 KBytes       
[  5] 128.00-129.00 sec  1.74 MBytes  14.6 Mbits/sec    0   76.4 KBytes       
[  5] 129.00-130.00 sec  1.43 MBytes  12.0 Mbits/sec   14   36.8 KBytes       
[  5] 130.00-131.00 sec   700 KBytes  5.73 Mbits/sec   17   29.7 KBytes       
[  5] 131.00-132.00 sec   954 KBytes  7.82 Mbits/sec    1   33.9 KBytes       
[  5] 132.00-133.00 sec   827 KBytes  6.78 Mbits/sec    4   38.2 KBytes       
[  5] 133.00-134.00 sec  1.06 MBytes  8.86 Mbits/sec    3   28.3 KBytes       
[  5] 134.00-135.00 sec   827 KBytes  6.78 Mbits/sec    8   33.9 KBytes       
[  5] 135.00-136.00 sec   954 KBytes  7.82 Mbits/sec   13   36.8 KBytes       
[  5] 136.00-137.00 sec  1.12 MBytes  9.38 Mbits/sec   11   39.6 KBytes       
[  5] 137.00-138.00 sec  1.18 MBytes  9.90 Mbits/sec    2   39.6 KBytes       
[  5] 138.00-139.00 sec  1.18 MBytes  9.90 Mbits/sec    6   41.0 KBytes       
[  5] 139.00-140.00 sec  1.24 MBytes  10.4 Mbits/sec    0   60.8 KBytes       
[  5] 140.00-141.00 sec  1.74 MBytes  14.6 Mbits/sec    2   56.6 KBytes       
[  5] 141.00-142.00 sec  1018 KBytes  8.33 Mbits/sec    4   43.8 KBytes       
[  5] 142.00-143.00 sec  1018 KBytes  8.34 Mbits/sec    5   32.5 KBytes       
[  5] 143.00-144.00 sec   827 KBytes  6.78 Mbits/sec    5   26.9 KBytes       
[  5] 144.00-145.00 sec   891 KBytes  7.30 Mbits/sec    0   45.2 KBytes       
[  5] 145.00-146.00 sec  1.25 MBytes  10.5 Mbits/sec    3   43.8 KBytes       
[  5] 146.00-147.00 sec  1.48 MBytes  12.5 Mbits/sec    7   46.7 KBytes       
[  5] 147.00-148.00 sec  1.06 MBytes  8.85 Mbits/sec    3   48.1 KBytes       
[  5] 148.00-149.00 sec  1.43 MBytes  12.0 Mbits/sec    0   67.9 KBytes       
[  5] 149.00-150.00 sec  1.25 MBytes  10.5 Mbits/sec    4   45.2 KBytes       
[  5] 150.00-151.00 sec  1.24 MBytes  10.4 Mbits/sec    2   48.1 KBytes       
[  5] 151.00-152.00 sec  1.49 MBytes  12.5 Mbits/sec    0   67.9 KBytes       
[  5] 152.00-153.00 sec  1.55 MBytes  13.0 Mbits/sec    3   63.6 KBytes       
[  5] 153.00-154.00 sec  1.25 MBytes  10.5 Mbits/sec    3   43.8 KBytes       
[  5] 154.00-155.00 sec  1.42 MBytes  11.9 Mbits/sec    0   63.6 KBytes       
[  5] 155.00-156.00 sec  1.86 MBytes  15.6 Mbits/sec    0   83.4 KBytes       
[  5] 156.00-157.00 sec  2.05 MBytes  17.2 Mbits/sec   11   74.9 KBytes       
[  5] 157.00-158.00 sec  2.11 MBytes  17.7 Mbits/sec    0   94.7 KBytes       
[  5] 158.00-159.00 sec  2.17 MBytes  18.2 Mbits/sec    6   58.0 KBytes       
[  5] 159.00-160.00 sec  1.74 MBytes  14.6 Mbits/sec    0   77.8 KBytes       
[  5] 160.00-161.00 sec  2.11 MBytes  17.7 Mbits/sec    4   70.7 KBytes       
[  5] 161.00-162.00 sec  1.93 MBytes  16.2 Mbits/sec    2   62.2 KBytes       
[  5] 162.00-163.00 sec  1.49 MBytes  12.5 Mbits/sec    1   59.4 KBytes       
[  5] 163.00-164.00 sec  1.55 MBytes  13.0 Mbits/sec    6   38.2 KBytes       
[  5] 164.00-165.00 sec  1.24 MBytes  10.4 Mbits/sec    0   58.0 KBytes       
[  5] 165.00-166.00 sec  1.24 MBytes  10.4 Mbits/sec    1   56.6 KBytes       
[  5] 166.00-167.00 sec  1.68 MBytes  14.1 Mbits/sec    0   76.4 KBytes       
[  5] 167.00-168.00 sec  2.24 MBytes  18.8 Mbits/sec    0   96.2 KBytes       
[  5] 168.00-169.00 sec  2.73 MBytes  22.9 Mbits/sec    0    116 KBytes       
[  5] 169.00-170.00 sec  3.23 MBytes  27.1 Mbits/sec    0    136 KBytes       
[  5] 170.00-171.00 sec  3.73 MBytes  31.3 Mbits/sec    0    156 KBytes       
[  5] 171.00-172.00 sec  4.23 MBytes  35.5 Mbits/sec    0    175 KBytes       
[  5] 172.00-173.00 sec  2.92 MBytes  24.5 Mbits/sec    3    105 KBytes       
[  5] 173.00-174.00 sec  2.92 MBytes  24.5 Mbits/sec    0    124 KBytes       
[  5] 174.00-175.00 sec  2.61 MBytes  21.9 Mbits/sec    2    109 KBytes       
[  5] 175.00-176.00 sec  2.50 MBytes  21.0 Mbits/sec    2   89.1 KBytes       
[  5] 176.00-177.00 sec  2.50 MBytes  21.0 Mbits/sec    0    109 KBytes       
[  5] 177.00-178.00 sec  2.46 MBytes  20.6 Mbits/sec    3   94.7 KBytes       
[  5] 178.00-179.00 sec  2.49 MBytes  20.9 Mbits/sec    9   79.2 KBytes       
[  5] 179.00-180.00 sec  2.24 MBytes  18.8 Mbits/sec    0   99.0 KBytes       
[  5] 180.00-181.00 sec  2.86 MBytes  24.0 Mbits/sec    0    119 KBytes       
[  5] 181.00-182.00 sec  3.29 MBytes  27.6 Mbits/sec    0    140 KBytes       
[  5] 182.00-183.00 sec  3.11 MBytes  26.1 Mbits/sec    2    120 KBytes       
[  5] 183.00-184.00 sec  2.67 MBytes  22.4 Mbits/sec    6    100 KBytes       
[  5] 184.00-185.00 sec  2.86 MBytes  24.0 Mbits/sec    0    120 KBytes       
[  5] 185.00-186.00 sec  3.42 MBytes  28.7 Mbits/sec    0    140 KBytes       
[  5] 186.00-187.00 sec  3.75 MBytes  31.5 Mbits/sec    0    160 KBytes       
[  5] 187.00-188.00 sec  4.39 MBytes  36.8 Mbits/sec    1    126 KBytes       
[  5] 188.00-189.00 sec  3.48 MBytes  29.2 Mbits/sec    1    109 KBytes       
[  5] 189.00-190.00 sec  3.04 MBytes  25.5 Mbits/sec    0    129 KBytes       
[  5] 190.00-191.00 sec  2.73 MBytes  22.9 Mbits/sec    1    112 KBytes       
[  5] 191.00-192.00 sec  3.11 MBytes  26.1 Mbits/sec    0    127 KBytes       
[  5] 192.00-193.00 sec  3.54 MBytes  29.7 Mbits/sec    0    147 KBytes       
[  5] 193.00-194.00 sec  3.98 MBytes  33.4 Mbits/sec    0    167 KBytes       
[  5] 194.00-195.00 sec  4.60 MBytes  38.6 Mbits/sec    0    187 KBytes       
[  5] 195.00-196.00 sec  5.00 MBytes  41.9 Mbits/sec    0    206 KBytes       
[  5] 196.00-197.00 sec  5.56 MBytes  46.7 Mbits/sec    0    226 KBytes       
[  5] 197.00-198.00 sec  5.59 MBytes  46.9 Mbits/sec    0    245 KBytes       
[  5] 198.00-199.00 sec  5.22 MBytes  43.8 Mbits/sec    1    198 KBytes       
[  5] 199.00-200.00 sec  5.47 MBytes  45.9 Mbits/sec    0    228 KBytes       
[  5] 200.00-201.00 sec  5.53 MBytes  46.4 Mbits/sec    0    245 KBytes       
[  5] 201.00-202.00 sec  5.65 MBytes  47.4 Mbits/sec    0    252 KBytes       
[  5] 202.00-203.00 sec  5.53 MBytes  46.4 Mbits/sec    0    259 KBytes       
[  5] 203.00-204.00 sec  5.59 MBytes  46.9 Mbits/sec    0    276 KBytes       
[  5] 204.00-205.00 sec  5.59 MBytes  46.9 Mbits/sec    0    290 KBytes       
[  5] 205.00-206.00 sec  5.59 MBytes  46.9 Mbits/sec    0    305 KBytes       
[  5] 206.00-207.00 sec  5.59 MBytes  46.9 Mbits/sec    0    318 KBytes       
[  5] 207.00-208.00 sec  5.59 MBytes  46.9 Mbits/sec    0    332 KBytes       
[  5] 208.00-209.00 sec  5.53 MBytes  46.4 Mbits/sec    0    345 KBytes       
[  5] 209.00-210.00 sec  5.59 MBytes  46.9 Mbits/sec    0    397 KBytes       
[  5] 210.00-211.00 sec  5.47 MBytes  45.9 Mbits/sec    0    477 KBytes       
[  5] 211.00-212.00 sec  5.65 MBytes  47.4 Mbits/sec    1    395 KBytes       
[  5] 212.00-213.00 sec  5.65 MBytes  47.4 Mbits/sec    5    305 KBytes       
[  5] 213.00-214.00 sec  5.53 MBytes  46.4 Mbits/sec    0    325 KBytes       
[  5] 214.00-215.00 sec  5.59 MBytes  46.9 Mbits/sec    0    334 KBytes       
[  5] 215.00-216.00 sec  5.59 MBytes  46.9 Mbits/sec    0    337 KBytes       
[  5] 216.00-217.00 sec  5.59 MBytes  46.9 Mbits/sec    0    342 KBytes       
[  5] 217.00-218.00 sec  5.59 MBytes  46.9 Mbits/sec    4    182 KBytes       
[  5] 218.00-219.00 sec  4.85 MBytes  40.7 Mbits/sec    1    151 KBytes       
[  5] 219.00-220.00 sec  4.16 MBytes  34.9 Mbits/sec    0    161 KBytes       
[  5] 220.00-221.00 sec  4.41 MBytes  37.0 Mbits/sec    0    181 KBytes       
[  5] 221.00-222.00 sec  4.91 MBytes  41.2 Mbits/sec    0    201 KBytes       
[  5] 222.00-223.00 sec  5.34 MBytes  44.8 Mbits/sec    0    221 KBytes       
[  5] 223.00-224.00 sec  5.65 MBytes  47.4 Mbits/sec    0    239 KBytes       
[  5] 224.00-225.00 sec  5.53 MBytes  46.4 Mbits/sec    0    257 KBytes       
[  5] 225.00-226.00 sec  5.59 MBytes  46.9 Mbits/sec    0    273 KBytes       
[  5] 226.00-227.00 sec  5.59 MBytes  46.9 Mbits/sec    0    288 KBytes       
[  5] 227.00-228.00 sec  5.59 MBytes  46.9 Mbits/sec    0    303 KBytes       
[  5] 228.00-229.00 sec  5.59 MBytes  46.9 Mbits/sec    0    317 KBytes       
[  5] 229.00-230.00 sec  5.34 MBytes  44.8 Mbits/sec    1    339 KBytes       
[  5] 230.00-231.00 sec  5.84 MBytes  49.0 Mbits/sec    0    311 KBytes       
[  5] 231.00-232.00 sec  5.53 MBytes  46.4 Mbits/sec    0    344 KBytes       
[  5] 232.00-233.00 sec  5.59 MBytes  46.9 Mbits/sec    0    365 KBytes       
[  5] 233.00-234.00 sec  5.53 MBytes  46.4 Mbits/sec    0    375 KBytes       
[  5] 234.00-235.00 sec  5.65 MBytes  47.4 Mbits/sec    0    378 KBytes       
[  5] 235.00-236.00 sec  5.59 MBytes  46.9 Mbits/sec    0    378 KBytes       
[  5] 236.00-237.00 sec  5.53 MBytes  46.4 Mbits/sec    0    378 KBytes       
[  5] 237.00-238.00 sec  5.65 MBytes  47.4 Mbits/sec    1    298 KBytes       
[  5] 238.00-239.00 sec  5.53 MBytes  46.4 Mbits/sec    0    337 KBytes       
[  5] 239.00-240.00 sec  5.59 MBytes  46.9 Mbits/sec    0    361 KBytes       
[  5] 240.00-241.00 sec  5.65 MBytes  47.4 Mbits/sec    2    280 KBytes       
[  5] 241.00-242.00 sec  5.59 MBytes  46.9 Mbits/sec    0    297 KBytes       
[  5] 242.00-243.00 sec  5.59 MBytes  46.9 Mbits/sec    0    305 KBytes       
[  5] 243.00-244.00 sec  5.59 MBytes  46.9 Mbits/sec    9    236 KBytes       
[  5] 244.00-245.00 sec  5.59 MBytes  46.9 Mbits/sec    0    252 KBytes       
[  5] 245.00-246.00 sec  5.59 MBytes  46.9 Mbits/sec    0    264 KBytes       
[  5] 246.00-247.00 sec  5.53 MBytes  46.4 Mbits/sec    0    280 KBytes       
[  5] 247.00-248.00 sec  5.59 MBytes  46.9 Mbits/sec    0    296 KBytes       
[  5] 248.00-249.00 sec  5.59 MBytes  46.9 Mbits/sec    0    310 KBytes       
[  5] 249.00-250.00 sec  5.59 MBytes  46.9 Mbits/sec    0    322 KBytes       
[  5] 250.00-251.00 sec  5.59 MBytes  46.9 Mbits/sec    0    337 KBytes       
[  5] 251.00-252.00 sec  5.53 MBytes  46.4 Mbits/sec    0    349 KBytes       
[  5] 252.00-253.00 sec  5.65 MBytes  47.4 Mbits/sec    0    361 KBytes       
[  5] 253.00-254.00 sec  5.53 MBytes  46.4 Mbits/sec    0    414 KBytes       
[  5] 254.00-255.00 sec  5.47 MBytes  45.9 Mbits/sec    0    496 KBytes       
[  5] 255.00-256.00 sec  5.41 MBytes  45.4 Mbits/sec    3    567 KBytes       
[  5] 256.00-257.00 sec  5.84 MBytes  49.0 Mbits/sec    0    482 KBytes       
[  5] 257.00-258.00 sec  5.53 MBytes  46.4 Mbits/sec    0    532 KBytes       
[  5] 258.00-259.00 sec  5.59 MBytes  46.9 Mbits/sec    0    567 KBytes       
[  5] 259.00-260.00 sec  5.53 MBytes  46.4 Mbits/sec    0    587 KBytes       
[  5] 260.00-261.00 sec  5.59 MBytes  46.9 Mbits/sec    0    598 KBytes       
[  5] 261.00-262.00 sec  5.59 MBytes  46.9 Mbits/sec    0    601 KBytes       
[  5] 262.00-263.00 sec  5.59 MBytes  46.9 Mbits/sec    0    601 KBytes       
[  5] 263.00-264.00 sec  5.59 MBytes  46.9 Mbits/sec    2    426 KBytes       
[  5] 264.00-265.00 sec  5.65 MBytes  47.4 Mbits/sec    0    486 KBytes       
[  5] 265.00-266.00 sec  5.53 MBytes  46.4 Mbits/sec    0    536 KBytes       
[  5] 266.00-267.00 sec  5.59 MBytes  46.9 Mbits/sec    0    568 KBytes       
[  5] 267.00-268.00 sec  5.59 MBytes  46.9 Mbits/sec    0    588 KBytes       
[  5] 268.00-269.00 sec  5.53 MBytes  46.4 Mbits/sec    0    598 KBytes       
[  5] 269.00-270.00 sec  5.65 MBytes  47.4 Mbits/sec    0    601 KBytes       
[  5] 270.00-271.00 sec  5.65 MBytes  47.4 Mbits/sec    2    430 KBytes       
[  5] 271.00-272.00 sec  5.53 MBytes  46.4 Mbits/sec    0    494 KBytes       
[  5] 272.00-273.00 sec  5.59 MBytes  46.9 Mbits/sec    0    540 KBytes       
[  5] 273.00-274.00 sec  5.53 MBytes  46.4 Mbits/sec    0    571 KBytes       
[  5] 274.00-275.00 sec  5.59 MBytes  46.9 Mbits/sec    0    590 KBytes       
[  5] 275.00-276.00 sec  5.65 MBytes  47.4 Mbits/sec    0    600 KBytes       
[  5] 276.00-277.00 sec  5.53 MBytes  46.4 Mbits/sec    0    601 KBytes       
[  5] 277.00-278.00 sec  5.59 MBytes  46.9 Mbits/sec    0    601 KBytes       
[  5] 278.00-279.00 sec  5.59 MBytes  46.9 Mbits/sec    0    601 KBytes       
[  5] 279.00-280.00 sec  5.53 MBytes  46.4 Mbits/sec    0    607 KBytes       
[  5] 280.00-281.00 sec  5.59 MBytes  46.9 Mbits/sec    0    619 KBytes       
[  5] 281.00-282.00 sec  5.53 MBytes  46.4 Mbits/sec    0    643 KBytes       
[  5] 282.00-283.00 sec  5.59 MBytes  46.9 Mbits/sec    0    682 KBytes       
[  5] 283.00-284.00 sec  5.65 MBytes  47.4 Mbits/sec    0    737 KBytes       
[  5] 284.00-285.00 sec  5.47 MBytes  45.9 Mbits/sec    0    810 KBytes       
[  5] 285.00-286.00 sec  5.59 MBytes  46.9 Mbits/sec    1    628 KBytes       
[  5] 286.00-287.00 sec  5.65 MBytes  47.4 Mbits/sec    0    710 KBytes       
[  5] 287.00-288.00 sec  5.53 MBytes  46.4 Mbits/sec    0    775 KBytes       
[  5] 288.00-289.00 sec  5.53 MBytes  46.4 Mbits/sec    0    823 KBytes       
[  5] 289.00-290.00 sec  5.53 MBytes  46.4 Mbits/sec    0    856 KBytes       
[  5] 290.00-291.00 sec  5.65 MBytes  47.4 Mbits/sec    0    874 KBytes       
[  5] 291.00-292.00 sec  5.53 MBytes  46.4 Mbits/sec    0    884 KBytes       
