Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5]  66.00-67.00  sec  1.12 MBytes  9.38 Mbits/sec    0    185 KBytes       
[  5]  67.00-68.00  sec  1.12 MBytes  9.38 Mbits/sec    0    192 KBytes       
[  5]  68.00-69.00  sec  1.12 MBytes  9.38 Mbits/sec    0    194 KBytes       
[  5]  69.00-70.00  sec  1.18 MBytes  9.90 Mbits/sec    0    194 KBytes       
[  5]  70.00-71.00  sec  1.12 MBytes  9.38 Mbits/sec    0    195 KBytes       
[  5]  71.00-72.00  sec  1.12 MBytes  9.38 Mbits/sec   62    143 KBytes       
[  5]  72.00-73.00  sec  1.12 MBytes  9.38 Mbits/sec    0    171 KBytes       
[  5]  73.00-74.00  sec  1.12 MBytes  9.38 Mbits/sec    0    188 KBytes       
[  5]  74.00-75.00  sec  1.12 MBytes  9.38 Mbits/sec    0    198 KBytes       
[  5]  75.00-76.00  sec  1.12 MBytes  9.38 Mbits/sec    0    199 KBytes       
[  5]  76.00-77.00  sec  1.18 MBytes  9.90 Mbits/sec    0    199 KBytes       
[  5]  77.00-78.00  sec  1.12 MBytes  9.38 Mbits/sec    0    201 KBytes       
[  5]  78.00-79.00  sec  1.12 MBytes  9.38 Mbits/sec    0    206 KBytes       
[  5]  79.00-80.00  sec  1.18 MBytes  9.90 Mbits/sec    0    218 KBytes       
[  5]  80.00-81.00  sec   954 KBytes  7.82 Mbits/sec   27    165 KBytes       
[  5]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0    195 KBytes       
[  5]  82.00-83.00  sec  1.17 MBytes  9.84 Mbits/sec    0    218 KBytes       
[  5]  83.00-84.00  sec  1.12 MBytes  9.38 Mbits/sec    0    232 KBytes       
[  5]  84.00-85.00  sec  1.18 MBytes  9.90 Mbits/sec    0    238 KBytes       
[  5]  85.00-86.00  sec  1.12 MBytes  9.38 Mbits/sec    0    238 KBytes       
[  5]  86.00-87.00  sec  1.12 MBytes  9.38 Mbits/sec    0    238 KBytes       
[  5]  87.00-88.00  sec  1.18 MBytes  9.90 Mbits/sec   26    182 KBytes       
[  5]  88.00-89.00  sec  1.12 MBytes  9.38 Mbits/sec    0    211 KBytes       
[  5]  89.00-90.00  sec  1.12 MBytes  9.38 Mbits/sec    0    228 KBytes       
[  5]  90.00-91.00  sec  1.06 MBytes  8.86 Mbits/sec   63    168 KBytes       
[  5]  91.00-92.00  sec  1.12 MBytes  9.38 Mbits/sec    0    185 KBytes       
[  5]  92.00-93.00  sec  1.18 MBytes  9.90 Mbits/sec    0    195 KBytes       
[  5]  93.00-94.00  sec  1.12 MBytes  9.38 Mbits/sec    0    197 KBytes       
[  5]  94.00-95.00  sec  1.12 MBytes  9.38 Mbits/sec    0    197 KBytes       
[  5]  95.00-96.00  sec  1.18 MBytes  9.90 Mbits/sec    0    198 KBytes       
[  5]  96.00-97.00  sec  1.12 MBytes  9.38 Mbits/sec    0    204 KBytes       
[  5]  97.00-98.00  sec  1.12 MBytes  9.38 Mbits/sec    0    216 KBytes       
[  5]  98.00-99.00  sec  1.18 MBytes  9.90 Mbits/sec    0    239 KBytes       
[  5]  99.00-100.00 sec   891 KBytes  7.30 Mbits/sec  125    164 KBytes       
[  5] 100.00-101.00 sec  1.06 MBytes  8.86 Mbits/sec   13    158 KBytes       
[  5] 101.00-102.00 sec  1.25 MBytes  10.5 Mbits/sec    0    165 KBytes       
[  5] 102.00-103.00 sec  1.17 MBytes  9.84 Mbits/sec    0    177 KBytes       
[  5] 103.00-104.00 sec  1.18 MBytes  9.90 Mbits/sec    0    180 KBytes       
[  5] 104.00-105.00 sec  1.12 MBytes  9.38 Mbits/sec   23    134 KBytes       
[  5] 105.00-106.00 sec  1.12 MBytes  9.38 Mbits/sec    0    158 KBytes       
[  5] 106.00-107.00 sec  1.12 MBytes  9.38 Mbits/sec    0    173 KBytes       
[  5] 107.00-108.00 sec  1.18 MBytes  9.90 Mbits/sec    0    180 KBytes       
[  5] 108.00-109.00 sec  1.06 MBytes  8.86 Mbits/sec    0    180 KBytes       
[  5] 109.00-110.00 sec  1.18 MBytes  9.90 Mbits/sec   37    148 KBytes       
[  5] 110.00-111.00 sec  1018 KBytes  8.34 Mbits/sec    0    167 KBytes       
[  5] 111.00-112.00 sec  1.18 MBytes  9.90 Mbits/sec   72    130 KBytes       
[  5] 112.00-113.00 sec  1.12 MBytes  9.38 Mbits/sec    9   99.0 KBytes       
[  5] 113.00-114.00 sec  1.12 MBytes  9.38 Mbits/sec   13   77.8 KBytes       
