Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5] 283.00-284.00 sec  1.37 MBytes  11.5 Mbits/sec    0   1.94 MBytes       
[  5] 284.00-285.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 285.00-286.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 286.00-287.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 287.00-288.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 288.00-289.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 289.00-290.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 290.00-291.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 291.00-292.00 sec  0.00 Bytes  0.00 bits/sec    0   1.94 MBytes       
[  5] 292.00-293.00 sec  1.80 MBytes  15.1 Mbits/sec  1373    697 KBytes       
[  5] 293.00-294.00 sec  5.28 MBytes  44.3 Mbits/sec    0   1.47 MBytes       
[  5] 294.00-295.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.60 MBytes       
[  5] 295.00-296.00 sec  5.28 MBytes  44.3 Mbits/sec    0   1.70 MBytes       
[  5] 296.00-297.00 sec  9.51 MBytes  79.8 Mbits/sec   51    560 KBytes       
[  5] 297.00-298.00 sec  23.5 MBytes   197 Mbits/sec    0    909 KBytes       
[  5] 298.00-299.00 sec  22.2 MBytes   186 Mbits/sec    6    690 KBytes       
[  5] 299.00-300.00 sec  22.4 MBytes   188 Mbits/sec   15    515 KBytes       
[  5] 300.00-301.00 sec  17.1 MBytes   143 Mbits/sec    6    395 KBytes       
[  5] 301.00-302.00 sec  13.6 MBytes   114 Mbits/sec    0    433 KBytes       
[  5] 302.00-303.00 sec  14.6 MBytes   123 Mbits/sec    0    455 KBytes       
[  5] 303.00-304.00 sec  15.0 MBytes   126 Mbits/sec    0    467 KBytes       
[  5] 304.00-305.00 sec  15.9 MBytes   133 Mbits/sec    0    492 KBytes       
[  5] 305.00-306.00 sec  16.7 MBytes   140 Mbits/sec    0    518 KBytes       
[  5] 306.00-307.00 sec  13.7 MBytes   115 Mbits/sec    4    279 KBytes       
[  5] 307.00-308.00 sec  7.46 MBytes  62.5 Mbits/sec    7    219 KBytes       
[  5] 308.00-309.00 sec  7.50 MBytes  62.9 Mbits/sec    0    242 KBytes       
[  5] 309.00-310.00 sec  8.47 MBytes  71.1 Mbits/sec    0    267 KBytes       
[  5] 310.00-311.00 sec  9.20 MBytes  77.2 Mbits/sec    0    293 KBytes       
[  5] 311.00-312.00 sec  10.0 MBytes  83.9 Mbits/sec    0    318 KBytes       
[  5] 312.00-313.00 sec  10.9 MBytes  91.8 Mbits/sec    0    344 KBytes       
[  5] 313.00-314.00 sec  11.7 MBytes  98.5 Mbits/sec    0    369 KBytes       
[  5] 314.00-315.00 sec  9.38 MBytes  78.7 Mbits/sec    5    304 KBytes       
[  5] 315.00-316.00 sec  10.6 MBytes  88.6 Mbits/sec    0    337 KBytes       
[  5] 316.00-317.00 sec  11.4 MBytes  95.4 Mbits/sec    0    356 KBytes       
[  5] 317.00-318.00 sec  11.9 MBytes  99.6 Mbits/sec    0    366 KBytes       
[  5] 318.00-319.00 sec  12.3 MBytes   103 Mbits/sec    0    383 KBytes       
[  5] 319.00-320.00 sec  13.0 MBytes   109 Mbits/sec    0    407 KBytes       
[  5] 320.00-321.00 sec  13.8 MBytes   115 Mbits/sec    0    433 KBytes       
[  5] 321.00-322.00 sec  14.6 MBytes   122 Mbits/sec    0    458 KBytes       
[  5] 322.00-323.00 sec  9.57 MBytes  80.3 Mbits/sec    9    180 KBytes       
[  5] 323.00-324.00 sec  6.25 MBytes  52.4 Mbits/sec    0    204 KBytes       
[  5] 324.00-325.00 sec  7.23 MBytes  60.7 Mbits/sec    0    229 KBytes       
[  5] 325.00-326.00 sec  8.02 MBytes  67.3 Mbits/sec    0    255 KBytes       
[  5] 326.00-327.00 sec  8.39 MBytes  70.4 Mbits/sec    1    199 KBytes       
[  5] 327.00-328.00 sec  7.27 MBytes  61.0 Mbits/sec    0    238 KBytes       
[  5] 328.00-329.00 sec  6.77 MBytes  56.8 Mbits/sec   18    187 KBytes       
[  5] 329.00-330.00 sec  6.52 MBytes  54.7 Mbits/sec    0    212 KBytes       
[  5] 330.00-331.00 sec  7.33 MBytes  61.5 Mbits/sec    0    236 KBytes       
[  5] 331.00-332.00 sec  8.33 MBytes  69.9 Mbits/sec    0    262 KBytes       
[  5] 332.00-333.00 sec  9.01 MBytes  75.6 Mbits/sec    0    287 KBytes       
[  5] 333.00-334.00 sec  9.82 MBytes  82.3 Mbits/sec    0    313 KBytes       
[  5] 334.00-335.00 sec  10.7 MBytes  89.7 Mbits/sec    0    338 KBytes       
[  5] 335.00-336.00 sec  11.6 MBytes  97.0 Mbits/sec    0    363 KBytes       
[  5] 336.00-337.00 sec  12.4 MBytes   104 Mbits/sec    0    389 KBytes       
[  5] 337.00-338.00 sec  13.2 MBytes   111 Mbits/sec    0    414 KBytes       
[  5] 338.00-339.00 sec  14.0 MBytes   117 Mbits/sec    0    440 KBytes       
[  5] 339.00-340.00 sec  13.9 MBytes   116 Mbits/sec    0    462 KBytes       
[  5] 340.00-341.00 sec  12.6 MBytes   106 Mbits/sec    0    549 KBytes       
[  5] 341.00-342.00 sec  15.3 MBytes   129 Mbits/sec    1    474 KBytes       
[  5] 342.00-343.00 sec  13.2 MBytes   111 Mbits/sec    0    543 KBytes       
[  5] 343.00-344.00 sec  14.6 MBytes   122 Mbits/sec    0    595 KBytes       
[  5] 344.00-345.00 sec  15.8 MBytes   133 Mbits/sec    0    629 KBytes       
[  5] 345.00-346.00 sec  14.2 MBytes   119 Mbits/sec    1    471 KBytes       
[  5] 346.00-347.00 sec  12.7 MBytes   106 Mbits/sec    0    508 KBytes       
[  5] 347.00-348.00 sec  13.5 MBytes   113 Mbits/sec    0    529 KBytes       
[  5] 348.00-349.00 sec  2.36 MBytes  19.8 Mbits/sec    2   1.41 KBytes       
[  5] 349.00-350.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5] 350.00-351.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 351.00-352.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5] 352.00-353.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 353.00-354.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 354.00-355.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 355.00-356.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5] 356.00-357.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 357.00-358.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 358.00-359.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 359.00-360.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 360.00-361.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 361.00-362.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 362.00-363.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5] 363.00-364.00 sec  2.98 MBytes  25.0 Mbits/sec  366    506 KBytes       
[  5] 364.00-365.00 sec  12.7 MBytes   106 Mbits/sec    8    501 KBytes       
[  5] 365.00-366.00 sec  13.6 MBytes   114 Mbits/sec    0    554 KBytes       
[  5] 366.00-367.00 sec  14.8 MBytes   124 Mbits/sec    0    592 KBytes       
[  5] 367.00-368.00 sec  15.7 MBytes   131 Mbits/sec    0    615 KBytes       
[  5] 368.00-369.00 sec  16.2 MBytes   136 Mbits/sec    0    628 KBytes       
[  5] 369.00-370.00 sec  16.2 MBytes   136 Mbits/sec    0    632 KBytes       
[  5] 370.00-371.00 sec  16.2 MBytes   136 Mbits/sec    0    632 KBytes       
[  5] 371.00-372.00 sec  16.4 MBytes   138 Mbits/sec    0    632 KBytes       
[  5] 372.00-373.00 sec  16.3 MBytes   137 Mbits/sec    0    635 KBytes       
[  5] 373.00-374.00 sec  16.5 MBytes   138 Mbits/sec    0    645 KBytes       
[  5] 374.00-375.00 sec  13.2 MBytes   111 Mbits/sec    3    513 KBytes       
[  5] 375.00-376.00 sec  14.0 MBytes   118 Mbits/sec    0    568 KBytes       
[  5] 376.00-377.00 sec  12.4 MBytes   104 Mbits/sec    2    434 KBytes       
[  5] 377.00-378.00 sec  8.20 MBytes  68.8 Mbits/sec    6    238 KBytes       
[  5] 378.00-379.00 sec  6.46 MBytes  54.2 Mbits/sec    0    259 KBytes       
[  5] 379.00-380.00 sec  4.91 MBytes  41.2 Mbits/sec   36    201 KBytes       
[  5] 380.00-381.00 sec  5.41 MBytes  45.4 Mbits/sec    0    216 KBytes       
[  5] 381.00-382.00 sec  5.90 MBytes  49.5 Mbits/sec    0    236 KBytes       
[  5] 382.00-383.00 sec  6.40 MBytes  53.7 Mbits/sec    0    256 KBytes       
[  5] 383.00-384.00 sec  6.90 MBytes  57.9 Mbits/sec    6    256 KBytes       
[  5] 384.00-385.00 sec  5.72 MBytes  48.0 Mbits/sec    0    233 KBytes       
[  5] 385.00-386.00 sec  6.46 MBytes  54.2 Mbits/sec    0    257 KBytes       
[  5] 386.00-387.00 sec  5.00 MBytes  41.9 Mbits/sec    9    143 KBytes       
[  5] 387.00-388.00 sec  3.08 MBytes  25.8 Mbits/sec   47    113 KBytes       
[  5] 388.00-389.00 sec  3.23 MBytes  27.1 Mbits/sec    0    133 KBytes       
[  5] 389.00-390.00 sec  3.73 MBytes  31.3 Mbits/sec    0    154 KBytes       
[  5] 390.00-391.00 sec  4.29 MBytes  36.0 Mbits/sec    0    174 KBytes       
[  5] 391.00-392.00 sec  4.78 MBytes  40.1 Mbits/sec    0    194 KBytes       
[  5] 392.00-393.00 sec  5.28 MBytes  44.3 Mbits/sec    0    214 KBytes       
[  5] 393.00-394.00 sec  5.84 MBytes  49.0 Mbits/sec    0    235 KBytes       
[  5] 394.00-395.00 sec  6.25 MBytes  52.4 Mbits/sec    0    255 KBytes       
[  5] 395.00-396.00 sec  6.92 MBytes  58.1 Mbits/sec    0    274 KBytes       
[  5] 396.00-397.00 sec  7.39 MBytes  62.0 Mbits/sec    0    294 KBytes       
[  5] 397.00-398.00 sec  7.95 MBytes  66.7 Mbits/sec    0    328 KBytes       
[  5] 398.00-399.00 sec  9.76 MBytes  81.8 Mbits/sec    0    427 KBytes       
[  5] 399.00-400.00 sec  12.5 MBytes   105 Mbits/sec    0    553 KBytes       
[  5] 400.00-401.00 sec  11.9 MBytes   100 Mbits/sec    4    457 KBytes       
[  5] 401.00-402.00 sec  12.5 MBytes   105 Mbits/sec    0    508 KBytes       
[  5] 402.00-403.00 sec  13.4 MBytes   113 Mbits/sec    0    542 KBytes       
[  5] 403.00-404.00 sec  10.8 MBytes  90.2 Mbits/sec   46    290 KBytes       
[  5] 404.00-405.00 sec  8.02 MBytes  67.2 Mbits/sec    0    320 KBytes       
[  5] 405.00-406.00 sec  8.39 MBytes  70.4 Mbits/sec    0    337 KBytes       
[  5] 406.00-407.00 sec  8.75 MBytes  73.4 Mbits/sec    0    346 KBytes       
[  5] 407.00-408.00 sec  9.33 MBytes  78.3 Mbits/sec    0    366 KBytes       
[  5] 408.00-409.00 sec  9.82 MBytes  82.4 Mbits/sec    0    387 KBytes       
[  5] 409.00-410.00 sec  10.2 MBytes  85.5 Mbits/sec    0    407 KBytes       
[  5] 410.00-411.00 sec  10.8 MBytes  90.7 Mbits/sec    0    427 KBytes       
[  5] 411.00-412.00 sec  11.2 MBytes  94.4 Mbits/sec    0    447 KBytes       
[  5] 412.00-413.00 sec  11.9 MBytes  99.6 Mbits/sec    0    467 KBytes       
[  5] 413.00-414.00 sec  11.2 MBytes  93.8 Mbits/sec    3    354 KBytes       
[  5] 414.00-415.00 sec  9.94 MBytes  83.4 Mbits/sec    0    407 KBytes       
[  5] 415.00-416.00 sec  11.0 MBytes  92.3 Mbits/sec    0    444 KBytes       
[  5] 416.00-417.00 sec  11.7 MBytes  98.5 Mbits/sec    0    464 KBytes       
[  5] 417.00-418.00 sec  10.9 MBytes  91.7 Mbits/sec   20    344 KBytes       
[  5] 418.00-419.00 sec  9.38 MBytes  78.7 Mbits/sec    0    373 KBytes       
[  5] 419.00-420.00 sec  9.13 MBytes  76.6 Mbits/sec    5    280 KBytes       
[  5] 420.00-421.00 sec  7.64 MBytes  64.1 Mbits/sec    0    307 KBytes       
[  5] 421.00-422.00 sec  8.20 MBytes  68.8 Mbits/sec    0    321 KBytes       
[  5] 422.00-423.00 sec  8.51 MBytes  71.4 Mbits/sec    0    335 KBytes       
[  5] 423.00-424.00 sec  8.89 MBytes  74.6 Mbits/sec    0    355 KBytes       
[  5] 424.00-425.00 sec  9.51 MBytes  79.7 Mbits/sec    0    376 KBytes       
[  5] 425.00-426.00 sec  10.0 MBytes  83.9 Mbits/sec    0    396 KBytes       
[  5] 426.00-427.00 sec  10.6 MBytes  88.7 Mbits/sec    0    416 KBytes       
[  5] 427.00-428.00 sec  11.1 MBytes  92.8 Mbits/sec    0    436 KBytes       
[  5] 428.00-429.00 sec  11.6 MBytes  97.0 Mbits/sec    0    455 KBytes       
[  5] 429.00-430.00 sec  7.83 MBytes  65.7 Mbits/sec    2    249 KBytes       
[  5] 430.00-431.00 sec  6.77 MBytes  56.8 Mbits/sec    0    267 KBytes       
[  5] 431.00-432.00 sec  7.15 MBytes  59.9 Mbits/sec    0    283 KBytes       
[  5] 432.00-433.00 sec  7.64 MBytes  64.1 Mbits/sec    0    303 KBytes       
[  5] 433.00-434.00 sec  6.34 MBytes  53.2 Mbits/sec    7    236 KBytes       
[  5] 434.00-435.00 sec  6.71 MBytes  56.3 Mbits/sec    0    274 KBytes       
[  5] 435.00-436.00 sec  7.46 MBytes  62.5 Mbits/sec    0    297 KBytes       
[  5] 436.00-437.00 sec  6.25 MBytes  52.4 Mbits/sec    4    228 KBytes       
[  5] 437.00-438.00 sec  6.25 MBytes  52.4 Mbits/sec    0    245 KBytes       
[  5] 438.00-439.00 sec  6.64 MBytes  55.7 Mbits/sec    0    263 KBytes       
[  5] 439.00-440.00 sec  7.08 MBytes  59.4 Mbits/sec    0    283 KBytes       
[  5] 440.00-441.00 sec  7.64 MBytes  64.1 Mbits/sec    0    303 KBytes       
[  5] 441.00-442.00 sec  8.14 MBytes  68.3 Mbits/sec    0    322 KBytes       
[  5] 442.00-443.00 sec  8.58 MBytes  71.9 Mbits/sec    0    344 KBytes       
[  5] 443.00-444.00 sec  9.26 MBytes  77.7 Mbits/sec    0    363 KBytes       
[  5] 444.00-445.00 sec  9.69 MBytes  81.3 Mbits/sec    0    383 KBytes       
[  5] 445.00-446.00 sec  10.1 MBytes  85.0 Mbits/sec    0    403 KBytes       
[  5] 446.00-447.00 sec  10.7 MBytes  89.7 Mbits/sec    0    423 KBytes       
[  5] 447.00-448.00 sec  11.4 MBytes  95.4 Mbits/sec    1    335 KBytes       
[  5] 448.00-449.00 sec  7.77 MBytes  65.2 Mbits/sec    7    270 KBytes       
[  5] 449.00-450.00 sec  7.33 MBytes  61.5 Mbits/sec    0    290 KBytes       
[  5] 450.00-451.00 sec  7.71 MBytes  64.7 Mbits/sec    0    301 KBytes       
[  5] 451.00-452.00 sec  8.08 MBytes  67.8 Mbits/sec    0    322 KBytes       
[  5] 452.00-453.00 sec  6.71 MBytes  56.3 Mbits/sec    1    264 KBytes       
[  5] 453.00-454.00 sec  7.33 MBytes  61.5 Mbits/sec    0    296 KBytes       
[  5] 454.00-455.00 sec  7.95 MBytes  66.7 Mbits/sec    0    314 KBytes       
[  5] 455.00-456.00 sec  8.33 MBytes  69.8 Mbits/sec    0    322 KBytes       
[  5] 456.00-457.00 sec  8.39 MBytes  70.4 Mbits/sec    0    324 KBytes       
[  5] 457.00-458.00 sec  8.70 MBytes  73.0 Mbits/sec    0    344 KBytes       
[  5] 458.00-459.00 sec  8.51 MBytes  71.4 Mbits/sec    3    264 KBytes       
[  5] 459.00-460.00 sec  7.27 MBytes  61.0 Mbits/sec    1    214 KBytes       
[  5] 460.00-461.00 sec  5.97 MBytes  50.0 Mbits/sec    0    238 KBytes       
[  5] 461.00-462.00 sec  6.25 MBytes  52.4 Mbits/sec    0    252 KBytes       
[  5] 462.00-463.00 sec  6.92 MBytes  58.1 Mbits/sec    0    273 KBytes       
[  5] 463.00-464.00 sec  7.33 MBytes  61.5 Mbits/sec    0    293 KBytes       
[  5] 464.00-465.00 sec  7.15 MBytes  59.9 Mbits/sec   39    226 KBytes       
[  5] 465.00-466.00 sec  6.25 MBytes  52.4 Mbits/sec    0    264 KBytes       
[  5] 466.00-467.00 sec  7.30 MBytes  61.2 Mbits/sec    0    288 KBytes       
[  5] 467.00-468.00 sec  7.71 MBytes  64.7 Mbits/sec    0    300 KBytes       
[  5] 468.00-469.00 sec  7.89 MBytes  66.2 Mbits/sec    0    305 KBytes       
[  5] 469.00-470.00 sec  8.14 MBytes  68.3 Mbits/sec    0    320 KBytes       
[  5] 470.00-471.00 sec  8.51 MBytes  71.4 Mbits/sec    0    339 KBytes       
[  5] 471.00-472.00 sec  9.13 MBytes  76.6 Mbits/sec    0    359 KBytes       
[  5] 472.00-473.00 sec  9.57 MBytes  80.3 Mbits/sec    0    379 KBytes       
[  5] 473.00-474.00 sec  10.1 MBytes  85.0 Mbits/sec    0    399 KBytes       
[  5] 474.00-475.00 sec  8.75 MBytes  73.4 Mbits/sec    1    318 KBytes       
[  5] 475.00-476.00 sec  8.90 MBytes  74.7 Mbits/sec    0    359 KBytes       
[  5] 476.00-477.00 sec  8.70 MBytes  73.0 Mbits/sec    0    383 KBytes       
[  5] 477.00-478.00 sec   764 KBytes  6.25 Mbits/sec  264    279 KBytes       
[  5] 478.00-479.00 sec  1.12 MBytes  9.38 Mbits/sec   13    211 KBytes       
[  5] 479.00-480.00 sec  1.12 MBytes  9.38 Mbits/sec    0    228 KBytes       
[  5] 480.00-481.00 sec  1.12 MBytes  9.38 Mbits/sec    0    236 KBytes       
[  5] 481.00-482.00 sec  1.12 MBytes  9.38 Mbits/sec    0    238 KBytes       
[  5] 482.00-483.00 sec  1.12 MBytes  9.38 Mbits/sec    0    238 KBytes       
[  5] 483.00-484.00 sec  1.12 MBytes  9.38 Mbits/sec    0    239 KBytes       
[  5] 484.00-485.00 sec  1.12 MBytes  9.38 Mbits/sec    0    245 KBytes       
[  5] 485.00-486.00 sec  1.12 MBytes  9.38 Mbits/sec   10    191 KBytes       
[  5] 486.00-487.00 sec  1.12 MBytes  9.38 Mbits/sec    0    218 KBytes       
[  5] 487.00-488.00 sec  1.12 MBytes  9.38 Mbits/sec    0    236 KBytes       
[  5] 488.00-489.00 sec  1.12 MBytes  9.38 Mbits/sec    0    245 KBytes       
[  5] 489.00-490.00 sec  1.12 MBytes  9.38 Mbits/sec    0    246 KBytes       
[  5] 490.00-491.00 sec  1.12 MBytes  9.38 Mbits/sec    0    246 KBytes       
[  5] 491.00-492.00 sec  1.12 MBytes  9.38 Mbits/sec    0    247 KBytes       
[  5] 492.00-493.00 sec  1.12 MBytes  9.38 Mbits/sec    0    253 KBytes       
[  5] 493.00-494.00 sec  1.06 MBytes  8.86 Mbits/sec    0    266 KBytes       
[  5] 494.00-495.00 sec  1.12 MBytes  9.38 Mbits/sec    0    290 KBytes       
[  5] 495.00-496.00 sec  1.12 MBytes  9.38 Mbits/sec   23    192 KBytes       
[  5] 496.00-497.00 sec  1.24 MBytes  10.4 Mbits/sec    0    171 KBytes       
[  5] 497.00-498.00 sec  1.12 MBytes  9.38 Mbits/sec   10    132 KBytes       
[  5] 498.00-499.00 sec  1.12 MBytes  9.38 Mbits/sec    0    146 KBytes       
[  5] 499.00-500.00 sec  1.06 MBytes  8.86 Mbits/sec    0    151 KBytes       
[  5] 500.00-501.00 sec  1.12 MBytes  9.38 Mbits/sec    0    151 KBytes       
[  5] 501.00-502.00 sec  1.12 MBytes  9.38 Mbits/sec    0    151 KBytes       
[  5] 502.00-503.00 sec  1.12 MBytes  9.38 Mbits/sec    0    156 KBytes       
[  5] 503.00-504.00 sec  1.18 MBytes  9.90 Mbits/sec   10    123 KBytes       
[  5] 504.00-505.00 sec  1.06 MBytes  8.86 Mbits/sec    0    143 KBytes       
[  5] 505.00-506.00 sec  1.12 MBytes  9.38 Mbits/sec    0    156 KBytes       
[  5] 506.00-507.00 sec  1.12 MBytes  9.38 Mbits/sec    0    158 KBytes       
[  5] 507.00-508.00 sec  1.12 MBytes  9.38 Mbits/sec    7    126 KBytes       
[  5] 508.00-509.00 sec  1.12 MBytes  9.38 Mbits/sec    0    146 KBytes       
[  5] 509.00-510.00 sec  1.12 MBytes  9.38 Mbits/sec   26    113 KBytes       
[  5] 510.00-511.00 sec  1.12 MBytes  9.38 Mbits/sec   16   90.5 KBytes       
[  5] 511.00-512.00 sec  1.37 MBytes  11.5 Mbits/sec   17   73.5 KBytes       
[  5] 512.00-513.00 sec  1.86 MBytes  15.6 Mbits/sec    0   89.1 KBytes       
[  5] 513.00-514.00 sec  2.24 MBytes  18.8 Mbits/sec    0    106 KBytes       
[  5] 514.00-515.00 sec  2.67 MBytes  22.4 Mbits/sec    0    124 KBytes       
[  5] 515.00-516.00 sec  3.11 MBytes  26.1 Mbits/sec    0    141 KBytes       
[  5] 516.00-517.00 sec  3.48 MBytes  29.2 Mbits/sec    0    160 KBytes       
[  5] 517.00-518.00 sec  3.98 MBytes  33.4 Mbits/sec    0    178 KBytes       
[  5] 518.00-519.00 sec  4.35 MBytes  36.5 Mbits/sec    0    197 KBytes       
[  5] 519.00-520.00 sec  4.72 MBytes  39.6 Mbits/sec    0    214 KBytes       
[  5] 520.00-521.00 sec  5.16 MBytes  43.3 Mbits/sec    0    232 KBytes       
[  5] 521.00-522.00 sec  5.59 MBytes  46.9 Mbits/sec    0    256 KBytes       
[  5] 522.00-523.00 sec  5.72 MBytes  48.0 Mbits/sec    0    339 KBytes       
[  5] 523.00-524.00 sec  5.65 MBytes  47.4 Mbits/sec    0    448 KBytes       
[  5] 524.00-525.00 sec  5.72 MBytes  48.0 Mbits/sec    0    584 KBytes       
[  5] 525.00-526.00 sec  5.72 MBytes  48.0 Mbits/sec    1    489 KBytes       
[  5] 526.00-527.00 sec  5.65 MBytes  47.4 Mbits/sec    0    554 KBytes       
[  5] 527.00-528.00 sec  5.72 MBytes  48.0 Mbits/sec    0    601 KBytes       
[  5] 528.00-529.00 sec  5.72 MBytes  48.0 Mbits/sec    0    631 KBytes       
[  5] 529.00-530.00 sec  5.65 MBytes  47.4 Mbits/sec    0    648 KBytes       
[  5] 530.00-531.00 sec  5.72 MBytes  48.0 Mbits/sec    0    658 KBytes       
[  5] 531.00-532.00 sec  5.72 MBytes  48.0 Mbits/sec    0    659 KBytes       
[  5] 532.00-533.00 sec  5.65 MBytes  47.4 Mbits/sec    0    659 KBytes       
[  5] 533.00-534.00 sec  5.72 MBytes  48.0 Mbits/sec    0    660 KBytes       
[  5] 534.00-535.00 sec  5.72 MBytes  48.0 Mbits/sec    0    666 KBytes       
[  5] 535.00-536.00 sec  5.65 MBytes  47.4 Mbits/sec    0    679 KBytes       
[  5] 536.00-537.00 sec  5.78 MBytes  48.5 Mbits/sec    1    519 KBytes       
[  5] 537.00-538.00 sec  5.65 MBytes  47.4 Mbits/sec    0    583 KBytes       
[  5] 538.00-539.00 sec  5.72 MBytes  48.0 Mbits/sec    0    629 KBytes       
[  5] 539.00-540.00 sec  5.72 MBytes  48.0 Mbits/sec    0    659 KBytes       
[  5] 540.00-541.00 sec  5.65 MBytes  47.4 Mbits/sec    0    676 KBytes       
[  5] 541.00-542.00 sec  5.72 MBytes  48.0 Mbits/sec    0    684 KBytes       
[  5] 542.00-543.00 sec  5.72 MBytes  48.0 Mbits/sec    0    686 KBytes       
[  5] 543.00-544.00 sec  5.65 MBytes  47.4 Mbits/sec    0    686 KBytes       
[  5] 544.00-545.00 sec  5.72 MBytes  48.0 Mbits/sec    0    687 KBytes       
[  5] 545.00-546.00 sec  5.72 MBytes  48.0 Mbits/sec    0    693 KBytes       
[  5] 546.00-547.00 sec  5.65 MBytes  47.4 Mbits/sec    0    706 KBytes       
[  5] 547.00-548.00 sec  5.72 MBytes  48.0 Mbits/sec    0    731 KBytes       
[  5] 548.00-549.00 sec  5.72 MBytes  48.0 Mbits/sec    0    769 KBytes       
[  5] 549.00-550.00 sec  5.65 MBytes  47.4 Mbits/sec    0    826 KBytes       
[  5] 550.00-551.00 sec  5.72 MBytes  48.0 Mbits/sec    0    904 KBytes       
[  5] 551.00-552.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1005 KBytes       
[  5] 552.00-553.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.11 MBytes       
[  5] 553.00-554.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.26 MBytes       
[  5] 554.00-555.00 sec  5.78 MBytes  48.5 Mbits/sec    0   1.45 MBytes       
[  5] 555.00-556.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.66 MBytes       
[  5] 556.00-557.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.92 MBytes       
[  5] 557.00-558.00 sec  5.65 MBytes  47.4 Mbits/sec    0   2.21 MBytes       
[  5] 558.00-559.00 sec  5.39 MBytes  45.2 Mbits/sec    1   2.49 MBytes       
[  5] 559.00-560.00 sec  5.97 MBytes  50.0 Mbits/sec    0   1.85 MBytes       
[  5] 560.00-561.00 sec  5.72 MBytes  48.0 Mbits/sec    0   2.01 MBytes       
[  5] 561.00-562.00 sec  5.65 MBytes  47.4 Mbits/sec    0   2.15 MBytes       
[  5] 562.00-563.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.26 MBytes       
[  5] 563.00-564.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.35 MBytes       
[  5] 564.00-565.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.42 MBytes       
[  5] 565.00-566.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.47 MBytes       
[  5] 566.00-567.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.50 MBytes       
[  5] 567.00-568.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.52 MBytes       
[  5] 568.00-569.00 sec  5.76 MBytes  48.3 Mbits/sec    0   2.53 MBytes       
[  5] 569.00-570.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.54 MBytes       
[  5] 570.00-571.00 sec  5.76 MBytes  48.3 Mbits/sec    0   2.54 MBytes       
[  5] 571.00-572.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.54 MBytes       
[  5] 572.00-573.00 sec  5.64 MBytes  47.3 Mbits/sec    0   2.54 MBytes       
[  5] 573.00-574.00 sec  3.33 MBytes  27.9 Mbits/sec  179   1.78 MBytes       
[  5] 574.00-575.00 sec  8.02 MBytes  67.3 Mbits/sec    0   1.90 MBytes       
[  5] 575.00-576.00 sec  5.65 MBytes  47.4 Mbits/sec    0   2.06 MBytes       
[  5] 576.00-577.00 sec  5.63 MBytes  47.3 Mbits/sec    0   2.20 MBytes       
[  5] 577.00-578.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.30 MBytes       
[  5] 578.00-579.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.39 MBytes       
[  5] 579.00-580.00 sec  5.70 MBytes  47.8 Mbits/sec    0   2.45 MBytes       
